N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"77,800","3,900",+5.28%,100,"4,644,491","5,969,783",55.92,"32,317,535",21.25,8.69,
2,SK하이닉스,"118,000","2,000",+1.72%,"5,000","859,043","728,002",49.77,"3,478,433",29.93,4.25,
3,삼성전자우,"72,800","2,900",+4.15%,100,"599,062","822,887",82.31,"5,823,157",19.88,N/A,
4,LG화학,"818,000","12,000",+1.49%,"5,000","577,445","70,592",42.37,"270,386",76.43,1.84,
5,삼성바이오로직스,"794,000","2,000",-0.25%,"2,500","525,350","66,165",10.33,"112,920",147.83,4.77,
6,셀트리온,"347,500","7,500",-2.11%,"1,000","469,117","134,998",20.76,"2,022,142",92.10,11.19,
7,NAVER,"282,000","2,000",-0.70%,100,"463,223","164,263",55.65,"452,158",56.14,10.56,
8,현대차,"187,000","2,000",+1.08%,"5,000","399,560","213,668",30.65,"1,052,729",44.68,4.32,
9,삼성SDI,"563,000","9,000",+1.62%,"5,000","387,144","68,765",44.01,"359,924",192.08,2.94,
10,카카오,"374,000","3,500",-0.93%,500,"330,280","88,310",31.89,"461,503",-415.09,-5.81,
11,삼성물산,"139,000","2,000",+1.46%,100,"259,773","186,887",14.19,"1,172,992",23.29,4.77,
12,LG생활건강,"1,625,000","14,000",+0.87%,"5,000","253,796","15,618",45.59,"18,298",36.41,20.32,
13,기아차,"61,700",300,+0.49%,"5,000","250,109","405,363",37.42,"1,266,952",28.67,6.50,
14,현대모비스,"251,000",0,0.00%,"5,000","238,587","95,055",43.15,"285,549",15.31,7.28,
15,POSCO,"271,000","3,500",+1.31%,"5,000","236,276","87,187",50.64,"251,231",24.82,4.18,
16,SK텔레콤,"247,000","2,000",+0.82%,500,"199,442","80,746",33.92,"175,923",18.19,3.92,
17,엔씨소프트,"897,000","9,000",+1.01%,500,"196,928","21,954",48.36,"96,853",35.10,14.72,
18,KB금융,"45,450","1,450",+3.30%,"5,000","188,985","415,808",65.36,"1,309,935",5.54,8.92,
19,LG전자,"112,000","7,500",-6.28%,"5,000","183,286","163,648",36.40,"11,854,823",24.33,0.22,
20,한국전력,"27,000",200,+0.75%,"5,000","173,330","641,964",17.23,"5,450,461",187.50,-3.42,
21,신한지주,"33,300",450,+1.37%,"5,000","172,003","516,527",57.30,"2,838,630",4.78,9.09,
22,SK,"242,000","2,500",+1.04%,200,"170,272","70,360",21.44,"227,470","1,021.10",4.31,
23,SK이노베이션,"180,500",0,0.00%,"5,000","166,900","92,466",24.30,"488,385",-6.86,-0.20,
24,삼성생명,"82,100","1,600",+1.99%,500,"164,200","200,000",11.98,"758,126",16.49,3.26,
25,LG,"85,000","1,400",-1.62%,"5,000","146,674","172,557",34.41,"1,465,479",12.02,5.87,
26,삼성에스디에스,"179,500","1,500",+0.84%,500,"138,893","77,378",11.80,"182,871",26.50,11.76,
27,SK바이오팜,"171,000",0,0.00%,500,"133,916","78,313",5.10,"132,885",-155.45,-313.66,
28,삼성전기,"167,500",500,+0.30%,"5,000","125,112","74,694",34.14,"476,677",34.32,10.18,
29,KT&G,"88,400",800,+0.91%,"5,000","121,367","137,292",40.46,"883,517",12.33,12.39,
30,아모레퍼시픽,"202,500","3,000",+1.50%,500,"118,378","58,458",32.20,"175,312",325.56,5.36,
31,하나금융지주,"35,800",900,+2.58%,"5,000","107,487","300,242",65.15,"1,225,145",4.38,8.77,
32,넷마블,"125,000","1,000",+0.81%,100,"107,307","85,845",22.45,"213,015",50.63,3.54,
33,삼성화재,"195,500","1,500",+0.77%,500,"92,618","47,375",44.49,"111,642",14.29,4.85,
34,롯데케미칼,"265,000","7,000",+2.71%,"5,000","90,830","34,275",26.52,"293,498",78.33,5.51,
35,한온시스템,"15,900",250,-1.55%,100,"84,874","533,800",20.43,"1,297,596",60.46,14.98,
36,고려아연,"413,000",500,+0.12%,"5,000","77,933","18,870",23.75,"39,107",13.91,9.76,
37,S-Oil,"69,000","1,300",+1.92%,"2,500","77,682","112,583",75.62,"304,569",-9.25,1.01,
38,한국조선해양,"108,000",500,+0.47%,"5,000","76,435","70,773",16.30,"254,673",357.62,1.40,
39,우리금융지주,"10,150",150,+1.50%,"5,000","73,310","722,268",25.05,"1,870,440",5.44,N/A,
40,한화솔루션,"45,650",750,-1.62%,"5,000","72,978","159,864",19.18,"1,759,327",-81.23,-4.02,
41,기업은행,"9,450",100,+1.07%,"5,000","69,804","738,664",10.06,"3,285,430",4.83,7.36,
42,현대글로비스,"182,000","1,500",+0.83%,500,"68,250","37,500",35.46,"124,888",10.23,11.25,
43,KT,"25,450",300,+1.19%,"5,000","66,453","261,112",44.02,"1,384,306",10.84,4.61,
44,LG디스플레이,"17,850",400,-2.19%,"5,000","63,870","357,816",23.75,"7,092,736",-2.60,-22.35,
45,포스코케미칼,"104,500",0,0.00%,500,"63,733","60,988",7.27,"379,493",237.50,11.57,
46,신풍제약,"119,000","5,500",+4.85%,500,"63,052","52,985",11.41,"10,473,977","3,305.56",0.80,
47,미래에셋대우,"9,630",60,+0.63%,"5,000","62,144","645,316",14.28,"1,766,838",10.06,7.56,
48,CJ제일제당,"382,500","2,000",-0.52%,"5,000","57,582","15,054",24.20,"54,320",7.94,3.16,
49,빅히트,"158,000","5,000",+3.27%,500,"56,286","35,624",3.47,"131,748",N/A,56.47,
50,코웨이,"72,400",800,+1.12%,500,"53,431","73,800",60.29,"156,888",14.96,30.74,
